Title ID	PSN Name	Region	Match Type	Redump Title	Serial
NPUF30001	GaiaSeed	US	fuzzy:0.88(diff region)	GaiaSeed: Project Seed Trap	SLPS-00624
NPUF30002	Cho Aniki	US	none		
NPUF30003	Magical Drop F	US	fuzzy:0.95(diff region)	Magical Drop	SLPS-00201
NPUF30004	Arcade Hits: Outlaws of the Lost Dynasty	US	fuzzy:0.92(diff region)	Arcade Hits: Suiko Enbu: Outlaws of the Lost Dynasty	SLPM-87145
NPUF30005	Tall Unlimited	US	exact(other region)	Tall Unlimited	SLPM-87116 / SLPS-02366
NPUF30006	Arcade Hits: Shienryu	US	fuzzy:0.98(diff region)	Arcade Hits: Shienryuu	SLPM-87228
NPUF30017	Money Idol Exchanger	US	exact(other region)	Money Idol Exchanger	SLPS-00963 / SLPS-02644
NPUF30018	Arcade Hits: Sonic Wings Special	US	exact(other region)	Arcade Hits: Sonic Wings Special	SLPM-87137
NPUF30019	Dezaemon Plus!	US	exact(other region)	Dezaemon Plus	SLPS-00335
NPUF30020	Blockids	US	exact	Blockids	SLUS-01496
NPUF30021	Galaxy Fight	US	exact(other region)	Galaxy Fight	SLES-00197
NPUF30022	Mega Man	US	fuzzy:0.95	Mega Man 8 | Mega Man X4 | Mega Man X5 | Mega Man X6 (Rev 1)	SLUS-00453 / SLUS-00561 / SLUS-01334 / SLUS-01395
NPUF30023	Mega Man 2	US	fuzzy:0.95	Mega Man 8 | Mega Man X4 | Mega Man X5 | Mega Man X6 (Rev 1)	SLUS-00453 / SLUS-00561 / SLUS-01334 / SLUS-01395
NPUF30024	Mega Man 3	US	fuzzy:0.95(diff region)	Mega Man X3	SLES-00503
NPUF30025	Yakiniku Bugyou	US	exact(other region)	Yakiniku Bugyou (Best of the Best)	SLPS-03519
NPUF30026	Rapid Angel	US	fuzzy:0.90(diff region)	Kaisoku Tenshi: The Rapid Angel	SLPS-01553
NPUF30027	Kyuiin	US	exact(other region)	Kyuiin	SLPS-00214
NPUF30028	Cyberbots: Fullmetal Madness	US	exact(other region)	Cyberbots: Fullmetal Madness	SLPS-01011
NPUF30029	Mega Man 4	US	fuzzy:0.95	Mega Man X4	SLUS-00561
NPUF30030	Dezaemon Kids!	US	exact(other region)	Dezaemon Kids!	SLPS-01503
NPUF30031	Arcade Hits: Magical Drop	US	exact(other region)	Arcade Hits: Magical Drop	SLPM-87173
NPUF30033	ART CAMION SUGOROKUDEN	US	exact(other region)	Art Camion: Sugorokuden	SLPS-02710
NPUF30034	FINGER★FLASHING	US	exact(other region)	Finger Flashing	SLPS-02158
NPUF30035	LUP★SALAD	US	fuzzy:0.90(diff region)	Lup Salad: Lupupu Cube [Natsu-cole Series Vol.3] | Lupupu Cube: Lup Salad	SLPM-87124 / SLPS-00416
NPUF30036	MAKERUNA MAKENDO2	US	fuzzy:0.94(diff region)	Makeruna! Makendou 2	SLPS-00128
NPUF30037	VEHICLE CAVALIER	US	exact(other region)	Vehicle Cavalier	SLPS-00232
NPUF30038	ZANAC×ZANAC	US	fuzzy:0.95(diff region)	Zanac x Zanac	SLPM-80626 / SLPS-03354
NPUF30039	Zero Kara no Mahjong ~Mahjong Tamago-gumi 2~	US	fuzzy:0.82(diff region)	0 kara no Mahjong: Mahjong Youchien Tamago-gumi	SLPS-01311 / SLPS-02546
NPUF30040	Mahjong Youchien Tamago-gumi	US	fuzzy:0.93(diff region)	0 kara no Mahjong: Mahjong Youchien Tamago-gumi	SLPS-01311 / SLPS-02546
NPUF30041	Zero Kara No Shogi~Shogi Youchien Ayumi-gumi~	US	fuzzy:0.94(diff region)	0 Kara no Shogi: Shogi Youchien Ayumi-Gumi	SLPS-02044
NPUF30042	Evergreen Avenue	US	exact(other region)	Evergreen Avenue	SLPS-03278
NPUF30043	Favorite Dear ~Enkan no Monogatari~	US	exact(other region)	Favorite Dear: Enkan no Monogatari | Favorite Dear: Enkan no Monogatari [Best Edition]	SLPS-03286 / SLPS-03566
NPUF30044	Favorite Dear ~Jyunpaku no Yogensha~	US	fuzzy:0.99(diff region)	Favorite Dear: Junpaku no Yogensha	SLPS-02754
NPUF30045	First Queen IV	US	fuzzy:0.90(diff region)	First Queen IV: Varcia Senki	SLPS-00604
NPUF30047	Motto Trump Shiyouyo!	US	fuzzy:0.80(diff region)	Trump Shiyou yo!	SLPS-01440 / SLPS-02225 / SLPS-02612
NPUF30048	Oz no Mahoutsukai ~Another World~ RungRung	US	fuzzy:0.99(diff region)	Oz no Mahoutsukai: Another World: Rung Rung	SLPS-02335
NPUF30049	Sentimental Graffiti	US	exact(other region)	Sentimental Graffiti	SLPS-03184
NPUF30050	Trump Shiyouyo! Fukkoku-ban	US	fuzzy:0.68(diff region)	Trump Shiyou yo!	SLPS-01440 / SLPS-02225 / SLPS-02612
NPUF30051	Mahjong Uranai Fortuna-Tsuki no Megami Tachi	US	exact(other region)	Mahjong Uranai Fortuna: Tsuki no Megami-tachi	SLPS-03123
NPUF30053	Double Dragon	US	exact(other region)	Double Dragon	SLPS-00191
NPUF30054	Hyper Crazy Climber	US	exact(other region)	Hyper Crazy Climber	SLPS-00248
NPUF30055	Lucifer Ring	US	exact(other region)	Lucifer Ring	SLPS-01784
NPUF30056	Wolf Fang	US	fuzzy:0.90(diff region)	Wolf Fang: Kuuga 2001 | Wolf Fang: Kuuga 2001 [Maruan Series 7]	SLPS-00254 / SLPS-03073
NPUF30059	The Firemen 2: Pete & Danny	US	exact(other region)	The Firemen 2: Pete & Danny	SLPS-00148 / SLPS-02090
NPUF30060	Sarara's Little Shop	US	fuzzy:0.63	Stuart Little 2 (Proto)	SCUS-94669
NPUF30061	Tokyo 23-Ku Seifuku Wars	US	exact(other region)	Tokyo 23-ku Seifuku Wars	SLPS-01259
NPUF30062	NEO PLANET	US	exact(other region)	Neo Planet	SLPS-00323
NPUF30063	Heroine Dream 2	US	exact(other region)	Heroine Dream 2 | Heroine Dream 2 [The Best Buy]	SLPS-01376 / SLPS-02933
NPUF30064	Heroine Dream	US	exact(other region)	Heroine Dream | Heroine Dream [Mouichido Kimi ni Eitai...Loved Series vol.2]	SLPS-00470 / SLPS-00471 / SLPS-02264
NPUF30065	Dragon Beat Legend of Pinball	US	fuzzy:0.98(diff region)	Dragonbeat: Legend of Pinball	SLPS-01067
NPUI00571	Vib-Ribbon	US	exact(other region)	Vib-Ribbon	PAPX-90101 / PAPX-90102 / SCES-02873 / SCPS-18012 / SCPS-45469 / SCPS-91213 / SCPS-91308
NPUI94103	Jumping Flash!	US	exact	Jumping Flash!	SCUS-94103
NPUI94108	Jumping Flash! 2	US	exact	Jumping Flash! 2	SCUS-94108
NPUI94154	Crash Bandicoot 2: Cortex Strikes Back	US	exact	Crash Bandicoot 2: Cortex Strikes Back	SCUS-94154
NPUI94167	Jet Moto 2	US	fuzzy:0.95	Jet Moto | Jet Moto 3 | Jet Moto 3 (Demo)	SCUS-94309 / SCUS-94384 / SCUS-94555
